Sample,avg_point_spatial,Eucl_spatial,A-Inhab_spatial,unique_spatial,avg_point_temp,Eucl_temp,unique_temp,avg_point_fair,Eucl_fair,unique_fair
2,16,59.2,148900,922,167.2,60.8,148,57.6,4.6,349
4,21.5,77.2,216970,1397,290.9,60.4,150,94.3,6.1,432
6,28.3,62.4,292075,1807,390.7,60,150,101.2,4,471
8,33.2,24.2,349495,2077,458.2,59.9,153,131.5,3.4,472
10,35.6,23.2,447750,2280,478,59.9,153,106.4,4,734
15,49.9,21.5,623580,2627,378.5,77.3,277,154.2,3.6,818
20,60.9,22.7,726590,2825,315.3,71.5,437,189.6,3.4,893
25,72.4,21.3,847940,2890,243.9,75,665,166.2,1.9,1165
30,82.7,18,1004645,2922,302.5,80.9,674,183.1,1.8,1232
35,96.7,21.3,1133795,2933,258.6,83.9,917,214.1,1.5,1235
40,106.4,6.3,1229115,2939,281.4,84.5,1013,239,1.7,1237
45,121.5,17.2,1395415,2943,316.6,84.1,1013,274.4,1.5,1237
50,142.7,22.4,1687220,2943,335.6,86.5,1013,305.1,1.5,1237
60,163.9,27.3,1913995,2943,380,85.7,1135,375.7,1.5,1238
70,195.3,30.6,1977665,2943,364.4,86.3,1378,345.5,2.9,1602
80,211.2,21.7,2373155,2943,412.3,79,1392,330.2,2.1,1913
90,241.9,15.8,2571390,2943,379.2,73.6,1706,365.3,1.8,1915
100,282.5,14.6,2857950,2943,424.2,61,1714,370.8,1.3,2143
